AAK1;AP2M1
PKN1;ZAK
PKN1;ARHGEF2
PLK1;KIZ
PLK1;VIM
PLK1;TP73
PLK1;FBXO5
PLK1;CCNB1
PLK1;CDC25C
PLK1;TRIOBP
PLK1;CEP55
PLK1;MAP9
PLK1;ATXN10
PLK1;WEE1
PLK1;CDC6
PLK1;BIRC5
PLK1;OPTN
PLK1;NUDC
PLK1;TPT1
PLK1;RACGAP1
PLK1;PINX1
PLK1;CHEK2
PLK1;DVL2
PLK1;TERF1
PLK1;RAP1GAP
PLK1;RAN
PLK1;KAT7
PLK1;YY1
PLK1;GTSE1
PLK1;IKBKB
PLK1;MDM2
PLK1;PLEKHG6
PLK1;NINL
PLK1;BRCA2
PLK1;ANAPC1
PLK1;PIN1
PLK1;CLSPN
PLK1;FADD
PLK1;FOXM1
PLK1;NPM1
PLK1;SNCA
PLK1;DCTN1
PLK1;TOPORS
PLK1;CENPU
PLK1;ERCC6L
PLK1;MYC
PLK1;TOP2A
PLK1;IRS1
PLK1;BUB1B
PLK1;HSF1
PLK1;BORA
PLK1;CLIP1
PLK2;SNCB
PLK2;CENPJ
PLK2;NPM1
PLK2;SNCA
PLK2;FBXW7
PLK3;JUN
PLK3;TOP2A
PLK3;TP53
PLK3;PTEN
POU4F1;ESR1
POU4F2;ESR1
POU5F1;AKT1
PPM1A;IKBKB
PPM1B;IKBKB
PPM1D;MDM2
PPM1D;TP53
PPP1CA;AURKA
PPP1CA;AKT1
PPP1CA;MAPK3
PPP1CB;AKT1
PPP2CA;AKT1
PPP2CA;RAF1
PPP2CA;STK3
PPP2CA;EEF2
PPP2CA;FOXO3
PPP2CA;RBL1
PPP2CA;MAPK3
PPP2CB;MDM2
PPP2CB;AKT2
PPP2CB;AKT1
PPP2R2A;AKT1
PPP2R2A;RAF1
PPP2R4;AKT1
PPP2R5B;AKT1
PPP2R5B;BCL2
PPP2R5C;MAPK3
PPP2R5D;RAF1
PRKAA1;NOS3
PRKAA1;LIPE
PRKAA1;NR2C2
PRKAA1;CRTC2
PRKAA1;PFKFB3
PRKAA1;RB1
PRKAA1;PPARGC1A
PRKAA1;PRKAB1
PRKAA1;GFPT1
PRKAA1;CRTC1
PRKAA1;TBC1D1
PRKAA1;ULK1
PRKAA1;RRN3
PRKAA1;GFPT1
PRKAA1;POU2F1
PRKAA1;HDAC4
PRKAA1;KLC2
PRKAA1;ZNF692
PRKAA1;CTBP1
PRKAA1;SYN1
PRKAA1;MLXIPL
PRKAA1;FOXO3
PRKAA1;HDAC7
PRKAA1;EP300
PRKAA1;HNF4A
PRKAA1;SNAI1
PRKAA1;RAF1
PRKAA1;FOXO4
PRKAA1;PFKFB2
PRKAA1;SREBF1
PRKAA1;RPTOR
PRKAA1;HDAC5
PRKAA1;GBF1
PRKAA1;EEF2K
PRKAA1;MFF
PRKAA1;KPNA2
PRKAA1;RAF1
PRKAA1;TP53
PRKAA1;FOXO1
PRKAA1;CRY1
PRKAA2;INSR
PRKAA2;IKBKB
PRKAA2;ULK1
PRKAA2;RPTOR
PRKAB1;NOS3
PRKAB1;ULK1
PRKAB1;RPTOR
PRKACA;APOBEC3G
PRKACA;UBE3A
PRKACA;SRSF1
PRKACA;ESR1
PRKACA;CAPN2
PRKACA;ERBB2
PRKACA;GSK3B
PRKACA;RXRA
PRKACA;PHOX2A
PRKACA;NOS3
PRKACA;LRRK2
PRKACA;ESR1
PRKACA;RAF1
PRKACA;RAF1
PRKACA;LASP1
PRKACA;NCOA3
PRKACA;PTPN7
PRKACA;PRKAA1
PRKACA;CFTR
PRKACG;NOS3
PRKAG1;PRKAA2
PRKCA;BCL2
PRKCA;GSK3B
PRKCA;KIT
PRKCA;EGFR
PRKCA;RAF1
PRKCA;EWSR1
PRKCA;HNRNPA1
PRKCA;EGLN2
PRKCA;RAF1
PRKCB;CHAT
PRKCB;LASP1
PRKCB;NCF1
PRKCB;ILF3
PRKCB;RPS6KB2
PRKCB;NFE2L2
PRKCB;STMN1
PRKCB;ORAI1
PRKCB;IBTK
PRKCB;TNNI3
PRKCB;RAF1
PRKCB;C5AR1
PRKCB;EWSR1
PRKCB;TYR
PRKCB;ANXA1
PRKCB;KCNC4
PRKCB;PRKCB
PRKCB;GSK3A
PRKCB;PRKCB
PRKCB;EWSR1
PRKCD;MUC1
PRKCD;LIMK2
PRKCD;PA2G4
PRKCD;TP53
PRKCD;TRIM28
PRKCD;ENOX2
PRKCD;HIST1H3J
PRKCD;DAB2
PRKCE;FGFR2
PRKCG;RAF1
PRKCH;GSK3B
PRKCI;ECT2
PRKCZ;STK11
PRKCZ;MARK2
PRKCZ;GSK3B
PRKD1;ARFIP1
PRKD1;SSH1
PRKD2;SSH1
PRKDC;TP53
PRKDC;HNRNPU
PRKDC;CHEK2
PRKG1;CFTR
PRKG1;HSPB1
PRKG1;LASP1
PRKG2;HSPB1
PRL;PRLR
PROS1;AXL
PSENEN;RYK
PSMA5;XBP1
PSMA6;XBP1
PSMA7;XBP1
PSTPIP1;DNM2
PTEN;STAT5A
PTEN;AKT
PTEN;PPM1A
PTGER3;GNAI1
PTK2;RET
PTK2;ACTN1
PTK2;PTK2
PTK2;PIK3R1
PTK2;ACTN4
PTK2;ACTN4
PTK2B;PTK2
PTK2B;NOS3
PTK6;KHDRBS1
PTK6;AKT1
PTK6;ARHGAP5
PTK6;BCAR1
PTK6;STAT5B
PTK6;PTK6
PTK6;STAP2
PTK6;STAP2
PTN;ALK
PTPN1;TRPV6
PTPN1;INSR
PTPN1;JAK2
PTPN1;AKT1
PTPN1;IGF1R
PTPN1;PTK2
PTPN11;EGFR
PTPN11;PTK2
PTPN12;BCAR1
PTPN12;JAK2
PTPN12;INSR
PTPN12;PTK2
PTPN13;INSR
PTPN14;BCAR1
PTPN2;EGFR
PTPN2;INSR
PTPN6;EGFR
PTPN6;KIT
PTPN6;ACTG1
PTPN6;INSR
PTPN7;MAPK14
PTPN7;MAPK1
PTPN9;GHR
PTPN9;NSF
PTPN9;INSR
PTPRB;INSR
PTPRB;ALK
PTPRB;MAPK3
PTPRF;INSR
PTPRF;AKT1
PTPRH;INSR
PTPRJ;MAPK3
PTPRJ;INSR
PTPRZ1;ALK
RAD1;TOPBP1
RAD50;MRE11A
RAD50;BRCA1
RAD50;ATM
RAD9A;TOPBP1
RAF1;RAF1
RAF1;MAP2K1
RAF1;BAD
RAF1;MAP2K2
RAF1;STK4
RAF1;STK3
RAF1;MAP3K5
RAG1;MTOR
RAG2;MTOR
RARA;RXRA
RARB;RXRA
RARG;RXRA
RASSF1;STK3
RASSF6;STK3
RCOR1;REST
RELA;JUN
RET;GRB7
RET;AKT1
RET;PTK2
RET;MAPK3
RHEB;MTOR
RIN1;EGFR
RNF111;AP2M1
ROCK1;PTEN
ROCK1;LIMK2
ROCK1;MYLK
ROR1;SRC
RPA2;NBN
RPA2;MRE11A
RPL10;JUN
RPL11;TP73
RPL5;TP73
RPS6KA1;GSK3B
RPS6KA1;YBX1
RPS6KA1;ESR1
RPS6KA1;STK11
RPS6KA1;RPS6
RPS6KA1;RPTOR
RPS6KA3;ESR1
RPS6KA3;YBX1
RPS6KA3;HIST1H3J
RPS6KA4;ATF1
RPS6KA4;FOS
RPS6KA4;RELA
RPS6KA4;RPS6KA4
RPS6KA4;CREB1
RPS6KA5;HIST1H3J
RPS6KB1;ESR1
RPS6KB1;MTOR
RPS6KB1;HSPB1
RPS6KB1;TP63
RPS6KB1;RPS6
RRAGC;RPTOR
RRAGD;RPTOR
RSPO2;LGR5
RSPO3;LGR5
RTN4;LINGO1
RXRA;PPARA
RXRA;PPARD
RXRA;NR1H2
RXRA;RARG
RXRA;RARA
RXRA;PPARG
RXRA;RARB
RXRA;THRB
RXRA;CTNNB1
RXRA;THRA
RYK;DVL2
RYK;DVL3
RYK;DVL1
RYK;FZD8
S1PR2;GNAI1
S1PR3;GNAI1
SAV1;STK3
SEPT9;ARHGEF18
SF1;EWSR1
SFPQ;TOP1
SFRP1;WNT4
SGK1;FBXW7
SGK1;FOXO3
SH2B2;INSR
SHPRH;PCNA
SIRT1;TP53
SIRT7;TP53
SKI;SMAD5
SKIL;SMAD5
SKP1;CUL1
SLK;MAP3K5
SLX4;ERCC4
SMAD5;SMAD4
SMARCA2;SMARCC1
SMARCA4;SMARCC1
SMARCAD1;TRIM28
SMARCC1;SMARCE1
SMG1;TP53
SMO;TIAM1
SMO;STK36
SMO;GNAI1
SMURF1;SMAD5
SMURF2;SMAD5
SNW1;NOTCH1
SNW1;NCOR2
SNX9;DNM2
SOCS1;IRAK1
SOCS1;JAK2
SOCS6;KIT
SRC;TNS3
SRC;DLG4
SRC;BCAR1
SRC;GNB2L1
SRC;MUC1
SRC;TXK
SRC;EGFR
SRC;KIT
SRC;TIAM1
SRC;IKBKB
SRC;RAF1
SRC;MYLK
SRC;PTEN
SRC;DDR2
SRC;ESR1
SRC;ARAF
SRC;BCAR1
SRC;UGT2B7
SRC;IGF1R
SRC;AKT1
SRC;PTK2
SRC;IGF1R
SRC;FLT4
SRPK1;SRSF1
SRSF3;NXF1
SRSF7;NXF1
SSH1;CORO1B
STAT2;STAT1
STK11;MARK1
STK11;MARK2
STK11;PRKAA1
STK11;STK11
STK11;STK11
STK11;NUAK2
STK11;NUAK1
STK11;MELK
STK11;PTEN
STK11;BRSK1
STK11;SIK3
STK11;SIK1
STK11;SNRK
STK11;PAK1
STK11;SIK2
STK11;TP53
STK11;MARK4
STK11;PRKAA2
STK11;MARK3
STK11;BRSK2
STK11;STRADA
STK17A;TP53
STK24;STK38
STK24;STK38L
STK24;STK24
STK3;MOB1A
STK3;STK3
STK3;SAV1
STK3;LATS2
STK3;ABL1
STK3;MOB1B
STK3;LATS1
STK3;NEK2
STK4;MOB1A
STK4;FOXO3
STUB1;SMAD5
TAF1;TP53
TAOK1;STK3
TAOK2;STK3
TAOK3;STK3
TARBP2;DICER1
TBK1;AKT1
TBK1;IKBKB
TCL1A;AKT3
TCL1A;AKT1
TCL1A;AKT2
TCL1B;AKT2
TCL1B;AKT1
TDGF1;TGFB1
TEK;TEK
TEK;TEK
TEK;SHC1
TEK;PIK3R1
TEK;TEK
TGFA;EGFR
TGFB1;TGFB1
TGFB1;PPP2R2A
TGFB1;TGFBR1
TGFB1;PIK3R1
TGFB1;TGFBR2
TGFBR1;CEBPB
TGFBR1;SPTBN1
TGFBR2;CEBPB
TGM2;HIST1H3J
THBS2;CD47
THEM4;AKT1
THRAP3;SFPQ
TIAM1;RAC1
TLK1;HIST1H3J
TLK1;RAD9A
TNFRSF10A;FADD
TNFRSF10B;FADD
TNFSF13;TNFRSF13B
TNFSF13B;TNFRSF13B
TNIK;TCF7L2
TNK2;SNX9
TNK2;TNK2
TOPBP1;ATRIP
TOPORS;TP53
TOPORS;TP53
TP53;NFKB2
TP53;RPS6KA1
TP53;BIRC5
TP53;BCL2L1
TP53;CDKN1A
TP53;BAX
TP53;BCL2
TP53;BAK1
TP53BP2;TP53
TP53RK;TP53
TRADD;FADD
TRADD;BIRC2
TRAF2;BIRC2
TRIB3;AKT1
TRIM24;AR
TRIM24;TP53
TRIM28;MDM2
TRPM7;EEF2K
TRPM7;ANXA1
TSHB;TSHR
TTK;CHEK2
TTK;TP53
TTK;HSPA9
TTL;TUBA1B
TXK;TXK
TXK;LCP2
TXK;LCP2
TXK;CTLA4
UBR2;RECQL4
UIMC1;BRCA1
ULK1;PRKAA1
ULK1;GABARAP
ULK1;PRKAA2
ULK1;PRKAG3
ULK1;AMBRA1
ULK1;ATG13
ULK1;RB1CC1
USP28;MYC
USP7;MDM2
USP7;TP53
VAV2;EGFR
VEGFA;FLT1
VEGFA;KDR
VEGFC;FLT4
VRK1;TP53
VRK1;JUN
VRK1;HIST1H3J
WDR83;MAPK3
WDR83;RAF1
WHSC1;AR
WIF1;WNT8A
WNK1;STK39
WNK1;SLC12A6
WNK1;WNK1
WNK1;OXSR1
WNT1;RYK
WNT3A;RYK
WNT4;LRP6
WNT4;LRP5
WNT5A;ROR2
WNT5A;FZD5
WNT5A;LRP6
WNT5A;FZD3
WNT5A;ROR1
WNT5A;FZD6
WNT5A;FZD2
WNT7A;FZD3
WNT7A;LRP6
WNT7A;LRP5
WNT7A;FZD7
WNT7B;FZD10
WNT7B;FZD3
WNT7B;FZD1
WNT7B;LRP5
XAF1;BIRC2
XBP1;XBP1
ZAK;MAP2K4
ZAK;MAP2K7
ZAK;ZAK
ZAP70;MUC1
